antibiotic,sample.id.ifapp,AMS method,study,type,subtype,subsubtype,location,season,wind,distance.m,air.method,strain.type,strain.number,whatisA,whatisN,whatisB,N,B,ampicillin,erythromycin,oxytetracycline,penicillin,tetracycline,tylosin,minocyclin,gentamicin,streptomycin,clindamycin,virginiamycin,vancomycin,teicoplanin,quinupristin/dalfopristin,ciprofloxacin,chloramphenicol,lincomycin,oxacillin,bacitracin,nalidixic acid,novobiocin,trimethoprim/sulfamethoxazole,tobramycin,amoxicillin/clavulanate,cefaclor,cefepime,netilmicin,pefloxacin,rifampicin,nitrofurantoin,pristinamycin,doxycycline,imipenem,norfloxacin,ticarcillin,piperacillin/tazobactam,cefalotin,cefoxitin,cefuroxime,ceftazidime,amikacin,kanamycin,methicillin,cefotaxime,cefpodoxime,aztreonam,ceftriaxone,cefotetan,cefazolin,sulbactam/ampicillin,ertapenem,amoxicillin,meropenem,colistin.sulfate,cefamandole,piperacillin,mupirocin
data,5,diskdiffusion,sivri2016,urban,metro station,Lagoon,Istanbul,April,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,0,NA,NA,1,0,1,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,diskdiffusion,sivri2016,urban,metro station,Avcilar,Istanbul,October,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,1,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,diskdiffusion,sivri2016,urban,metro station,Zeytinburnu,Istanbul,June,inside,0,SAMPL'AIR,staphylococcus.capitis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,0,0,NA,NA,0,1,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,diskdiffusion,sivri2016,urban,metro station,Avcilar,Istanbul,June,inside,0,SAMPL'AIR,staphylococcus.cohnii,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,diskdiffusion,sivri2016,urban,metro station,Menekse,Istanbul,September,inside,0,SAMPL'AIR,staphylococcus.sciuri,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,10,diskdiffusion,sivri2016,urban,metro station,Menekse,Istanbul,October,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,11,diskdiffusion,sivri2016,urban,metro station,Eminonu,Istanbul,March,inside,0,SAMPL'AIR,staphylococcus.cohnii,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,12,diskdiffusion,sivri2016,urban,metro station,Kcekmece,Istanbul,March,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,1,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,13,diskdiffusion,sivri2016,urban,metro station,Zeytinburnu,Istanbul,April,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,14,diskdiffusion,sivri2016,urban,metro station,Kcekmece,Istanbul,October,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,15,diskdiffusion,sivri2016,urban,metro station,Taksim,Istanbul,December,inside,0,SAMPL'AIR,staphylococcus.hominis,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,10,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,liquiddilution,rosas1997,home,living room,Mexico City,Mexico,NR,inside,0,Andersen-2,eschericia.coli,O70:H11,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,18,1,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
data,2,liquiddilution,rosas1997,home,living room,Mexico City,Mexico,NR,inside,0,Andersen-2,eschericia.coli,O157:H49,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,18,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
data,3,liquiddilution,rosas1997,home,living room,Mexico City,Mexico,NR,inside,0,Andersen-2,eschericia.coli,O?:H,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,18,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,P,agardilution,chihara1989,urban,lawn,Kitakyushu University,Japan,NR,outside,0,gelatin filter,staphyloccus.xylosus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,208,6,NA,80,NA,0,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,E,agardilution,chihara1989,urban,wood,Kitakyushu University,Japan,NR,outside,0,gelatin filter,staphyloccus.xylosus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,117,6,NA,7,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,agardilution,breza-boruta2007,wwtp,not stated,municipal,Poland,May-October,inside,0,MAS-100,staphylococcus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,42,9,NA,8,NA,NA,4,NA,NA,6,11,NA,NA,3,NA,NA,NA,NA,16,11,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,agardilution,korzeniewska2013a,wwtp,grit chamber,mixed,Poland,NR,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,38,9,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,21,NA,NA,NA,36,18,NA,NA,37,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,agardilution,korzeniewska2013a,wwtp,aeration tank,mixed,Poland,NR,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,5,9,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,NA,NA,4,3,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,A,vitek.astgn13,zhang2018,wwtp,aeration tank,pharmceutical,China,December-February,inside,0,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,51,11,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,10,NA,NA,15,NA,NA,NA,26,NA,NA,NA,NA,NA,36,30,32,41,27,7,NA,NA,NA,NA,NA,NA
data,B,vitek.astgn13,zhang2018,wwtp,aeration tank,pharmceutical,China,December-February,inside,0,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,53,11,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,9,NA,NA,13,NA,NA,NA,17,NA,NA,NA,NA,NA,42,30,30,43,25,7,NA,NA,NA,NA,NA,NA
data,C,vitek.astgn13,zhang2018,wwtp,aeration tank,pharmceutical,China,December-February,inside,0,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,75,11,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,4,NA,NA,8,NA,NA,NA,13,NA,NA,NA,NA,NA,41,14,25,38,32,0,NA,NA,NA,NA,NA,NA
data,D,vitek.astgn13,zhang2018,wwtp,aeration tank,pharmceutical,China,December-February,downwind,10,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,115,11,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,6,NA,NA,NA,NA,NA,23,33,31,81,54,3,NA,NA,NA,NA,NA,NA
data,E,vitek.astgn13,zhang2018,wwtp,aeration tank,pharmceutical,China,December-February,downwind,20,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,48,11,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,4,NA,NA,7,NA,NA,NA,11,NA,NA,NA,NA,NA,24,21,22,29,24,13,NA,NA,NA,NA,NA,NA
data,F,vitek.astgn13,zhang2018,wwtp,aeration tank,pharmceutical,China,December-February,downwind,50,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,83,11,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,22,NA,NA,22,NA,NA,NA,25,NA,NA,NA,NA,NA,58,42,21,54,29,21,NA,NA,NA,NA,NA,NA
data,G,vitek.astgn13,zhang2018,wwtp,aeration tank,pharmceutical,China,December-February,downwind,200,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,63,11,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,9,NA,NA,16,NA,NA,NA,18,NA,NA,NA,NA,NA,38,23,28,45,25,9,NA,NA,NA,NA,NA,NA
data,K,vitek.astgn13,zhang2018,wwtp,aeration tank,residential community,China,December-February,inside,0,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,117,11,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,12,NA,NA,NA,1,NA,NA,NA,NA,NA,14,35,41,64,53,5,NA,NA,NA,NA,NA,NA
data,L,vitek.astgn13,zhang2018,wwtp,aeration tank,municipal,China,December-February,inside,0,Andersen-6,gram-negatives,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,169,11,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,10,NA,NA,NA,NA,NA,39,42,59,101,85,17,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,teixeira2016,wwtp,bar rack,municipal,Portugal,September-February,inside,0,MAS-100,serratia.marcescens,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,19,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,1,1,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,1,0,1,NA,NA,NA
data,2,diskdiffusion,teixeira2016,wwtp,sedipac,municipal,Portugal,September-February,inside,0,MAS-100,enterobacter.cloacae,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,19,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,0,0,NA,NA,NA
data,3,diskdiffusion,teixeira2016,wwtp,secondary sedimentation tank,municipal,Portugal,September-February,inside,0,MAS-100,citrobacter.freundii,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,19,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,3,NA,3,3,3,NA,NA,NA,3,NA,2,NA,NA,NA,NA,2,3,1,0,NA,NA,NA
data,4,diskdiffusion,teixeira2016,wwtp,secondary sedimentation tank,municipal,Portugal,September-February,inside,0,MAS-100,enterobacter.cloacae,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,19,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,0,0,NA,NA,NA
data,5,diskdiffusion,teixeira2016,wwtp,secondary sedimentation tank,municipal,Portugal,September-February,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,5,19,NA,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,5,2,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,5,0,0,NA,NA,NA
data,6,diskdiffusion,teixeira2016,wwtp,secondary sedimentation tank,municipal,Portugal,September-February,inside,0,MAS-100,serratia.marcescens,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,19,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,1,1,0,NA,NA,NA,1,NA,0,NA,NA,NA,NA,0,1,0,1,NA,NA,NA
data,7,diskdiffusion,teixeira2016,wwtp,secondary sedimentation tank,municipal,Portugal,September-February,inside,0,MAS-100,proteus.penneri,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,19,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,1,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,1,0,1,NA,NA,NA
data,8,diskdiffusion,teixeira2016,wwtp,sludge dehydration tank,municipal,Portugal,September-February,inside,0,MAS-100,enterobacter.sakazaki,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,19,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,0,0,NA,NA,NA
data,1,agardilution,korzeniewska2013b,wwtp,grit chamber,municipal,Poland,Year-round,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,agardilution,korzeniewska2013b,wwtp,grit chamber,municipal,Poland,Year-round,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,agardilution,korzeniewska2013b,wwtp,grit chamber,municipal,Poland,Year-round,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,agardilution,korzeniewska2013b,wwtp,grit chamber,municipal,Poland,Year-round,inside,0,MAS-100,klebsiella.pneumoniae,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,agardilution,korzeniewska2013b,wwtp,aeration tank,municipal,Poland,Year-round,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,6,agardilution,korzeniewska2013b,wwtp,aeration tank,municipal,Poland,Year-round,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,7,agardilution,korzeniewska2013b,wwtp,aeration tank,municipal,Poland,Year-round,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,8,agardilution,korzeniewska2013b,wwtp,aeration tank,municipal,Poland,Year-round,inside,0,MAS-100,eschericia.coli,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,9,agardilution,korzeniewska2013b,wwtp,aeration tank,municipal,Poland,Year-round,inside,0,MAS-100,citrobacter.freundii,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,1,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,1,3,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,2,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,6,3,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,3,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,7,3,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,4,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,8,3,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data,5,diskdiffusion,gandara2006,home,living room,Texas,USA,March-April-May,inside,0,Andersen-2,staphyloccus.aureus,NA,sum of number of ABs to which each isolate is resistant,number of organisms recovered,number of antibiotics tested,7,3,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
